Colony,Treatment,Worker size,Oocyte number,,,Columns:
H1,Hexane,L,0,,,
H1,Hexane,L,0,,,
H1,Hexane,L,8,,,
H1,Hexane,L,20,,,
H1,Hexane,L,21,,,
H1,Hexane,L,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,27,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,28,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,16,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,0,,,
H1,Hexane,M,40,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H1,Hexane,S,0,,,
H2,Hexane,L,0,,,
H2,Hexane,L,0,,,
H2,Hexane,L,67,,,
H2,Hexane,L,0,,,
H2,Hexane,L,56,,,
H2,Hexane,L,0,,,
H2,Hexane,L,3,,,
H2,Hexane,L,45,,,
H2,Hexane,M,18,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,32,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,46,,,
H2,Hexane,M,0,,,
H2,Hexane,M,42,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,13,,,
H2,Hexane,M,49,,,
H2,Hexane,M,0,,,
H2,Hexane,M,31,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,36,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,48,,,
H2,Hexane,M,39,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,M,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H2,Hexane,S,28,,,
H2,Hexane,S,0,,,
H2,Hexane,S,0,,,
H3,Hexane,L,28,,,
H3,Hexane,L,66,,,
H3,Hexane,L,0,,,
H3,Hexane,L,87,,,
H3,Hexane,L,0,,,
H3,Hexane,L,46,,,
H3,Hexane,L,28,,,
H3,Hexane,L,50,,,
H3,Hexane,L,0,,,
H3,Hexane,L,40,,,
H3,Hexane,L,77,,,
H3,Hexane,L,12,,,
H3,Hexane,L,51,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,0,,,
H3,Hexane,M,44,,,
H3,Hexane,M,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,18,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H3,Hexane,S,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,14,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,18,,,
H4,Hexane,L,33,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,36,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,L,21,,,
H4,Hexane,L,0,,,
H4,Hexane,L,0,,,
H4,Hexane,M,44,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,4,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,29,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,M,5,,,
H4,Hexane,M,0,,,
H4,Hexane,M,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,8,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H4,Hexane,S,0,,,
H5,Hexane,L,83,,,
H5,Hexane,L,0,,,
H5,Hexane,L,69,,,
H5,Hexane,L,41,,,
H5,Hexane,L,26,,,
H5,Hexane,L,35,,,
H5,Hexane,L,0,,,
H5,Hexane,L,114,,,
H5,Hexane,L,0,,,
H5,Hexane,L,39,,,
H5,Hexane,L,0,,,
H5,Hexane,L,0,,,
H5,Hexane,L,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,5,,,
H5,Hexane,M,33,,,
H5,Hexane,M,91,,,
H5,Hexane,M,29,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,11,,,
H5,Hexane,M,7,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,43,,,
